label,x
1,sex offense happens across races  cultures  creeds  castrated
1,good luck furyhaney players playing weekend future stars showcase frisco  tx kgb gtown
1,james 500k  50k  25k  10k fucked bb18 bitter shouldofvotedfornicole
1,bad news ordered online nt gone happened order phone
1,distraught  ðÿ˜­ candice pout piss
1,tonight dragrace allstars2 episode gave life  yaassss queens  teamalaska teamkatya bwahaha
1,never seen fast  furious tokyo drift boutta watch
1,also ppl love whole damn lot erica  joanna  tiff  sirli  harley  anja   rest gc bc ran chara  
1,ghost stefano reflects grim indignity murdered corrupt cops faux love days
1,35 hold grudge ex 
1,   im writing abt changing face sex industry tr     men talk  revenge
1,earth projection good happy true soul poisonous fucking snake  patronus adder
1,nothing entertaining frightening bitter alcoholic trying desperately get attention
1,even give pizzas  serious fail hungry furious hangry
1,wow   bill â£4477 hav text u prove taken â£148      swines con 
1,goddamn headache
1,either look like raging bitch  obnoxiously laughing something funny nt think middle ground
1,huff btw tyðÿ˜”
1,asked parcel delivered pick store address fuming poorcustomerservice
1,back starting irritate barely 219 ðÿ˜“
1,take public opinion revenge pakistan govt unable decide 
1,thanks ios10 update  even best app freezing crashing se
1,new madden kicking ðÿš®
1,peter radio piece ball pure class  digs  revenge  total balanced pro  ðÿ‘ðÿ‘ðÿ‘
1,nice u fuming ðÿ˜‚
1,literally burst laughing
1,egyptian officials expressed frustration outrage obamahillary administrationâ€™s support muslim brotherhood
1,watching crimewatch kind sick fuck touches 6 year olds ðÿ˜¡ðÿ˜¡ðÿ˜¡ðÿ˜¡ shit like makes fume   
1,try let anger seep reviews  resent time wasted books like time precious
1,said talking wills uncontrollable animals moving another link comments help  fuming
1,baskets better bad mood someone irritate practice please
1,miss gran singing rawhide  deep baritone growl
1,fly fit rage fair
1,insult late sherri martel
1,offense ppl using creams build glutescome go squat
1,fuming
1,offended  actually
1,nt bitter
1,indiamissingindira could never solve kashmir problem kept burning vote bank terrorstatepak
1,love word fret much im heaven
1,saying might like big foot might like natural biological father says blood boiling cross
1,puzzle investing opening portland feodal population correlative straight snorting infuriate xlzjyhg
1,poor  angry justly offer people hope  god  anyone see   education elite
1,agree offense ass second half td score first drive
1,paid chicken nt even get ðÿ˜‘ðÿ˜‘ðÿ˜‘ goes 4 dollars customer
1,chick told look like childish gambino insult compliment
1,part 2was buzzing cheeky squashie twothis expectedsort  food angry
1,delays streatham cmn clap junc  train took 20 mins 9 mins journey missed 2 trains reading
1,team must draw hat daily personality drugged angry yeller quiet screamer ðÿ˜‚ðÿ˜‚
1,offered gold silver said nah bitcoin snap
1,offend 
1,watching 1 would straight guy getting irate  extremeworld
1,dogs making ridiculous sounds right like high pitched gargley growl
1,unbelievable takes 10 minutes get fault call hangs fuming treatcustomersfairly
1,believe call fury righteous
1,got 20 tip drunk uber passenger today get 25 parking ticket blame karma dumb ass forgot pay meter
1,spend â£10 shimmy â£1 drinks raging  know gonna happen
1,actually fuming nothing wear saturday
1,fuck boiling inside  gonna good let
1,hell drilling outside house   literally got sleep half four busy shift twats woken
1,let general tweet offend  definitely nt twitter
1,bloody right
1,2 nword think afram entitled nt take away insult claimed back
1,ca nt guess holding grudge best
1,scorpio always seek revenge 
1,exactly saying fb bitter
1,nt think cadres getting src deployment would make cadres bitter  ku tough macom
1,opioid rapid pill plaguespeed generations pulse rapid rabid impairment ist choice stacked usage vs street ingestion demo us
1,angry already
1,  a2 irritation isolation lifenabler
1,true none players cops  drink chilled bitter  players walter mitty types  
1,im holiday next round  fuming 
1,someone keeps laughing  nt fret  least u r giving happiness   quotes quotestoliveby
1,thirsty chance disagree w left  nt even realize something affront bigoted platform
1,kik want swap pics post account anonymously wish kik vsvplou kik kikme nudes tits snapchat
1,1975 playing antichrist wo nt play hustle outrage
1,ananya grabbed bible  opened  started reading  said talk burning people 
1,whenever pout want adrian appear tell stop pouting else
1,little frustrates much misplacing something looking keys 2 hours rage
1,buzzing pathetically sympathy let twirl moustache  chuckle sting psychowasp
1,ca nt believe putting prices   already know struggling pay bill  wo nt change package   raging
1,bloke train obviously trying provoke west ham fans loudly slagging stadium mate phone
1,british humour offend challenge mainstream views hat clarkeson ultra left go kneel allah  
1,ha right san jose  ca  offended right dave  go walk something next time
1,since friend pereg nt want offend   peace
1,like rape apologists  inadvertently   make men sound like rabid  mindless beasts friends like
1,irritate inch thick made masks
1,irate checkin system tried checkin day would nt let seat assigned
1,imagine celtic burst net wae every attempt  nutt old dain hard way usual
1,asked jared marry said
1,someone let snakes house  bet kill bugger get hands huckfp2
1,yall bitches angry bitter  must truly suck lol
1,bloody parking ticket ðÿ˜’ðÿ’¸ fuming
1,boys dm pictures cocks  best one get uploaded  â˜ºï¸ðÿ’¦ðÿ’¦ cumtribute dm snapchat snapme nudes dickpic cocktribute
1,happy birthday seedâ€¼ï¸â€¼ï¸â€¼ï¸ renewtherivalry imyourdaddy cantbeatme tater
1,huh  always fault nt   sulk
1,wouldnt date     
1,anger inside turned fuel  burned watched spin  like inferno types 
1,king says nt matter fact came w psycho far affront
1,dear please tell bus drivers obstruction side dont pull oncoming traffic causing vehs swerve fuming ðÿ˜¡
1,still ca nt log fucking snapchat snapchat
1,disgracefulesin resent men way reason esinscountdown
1,summar one insult gone idc dad
1,looks like rabid pack inbreds
1,wonder american city next protest police shootings next  smh whenwillitstop howmanymoretimes
1,jealous cry baby  bitter gladsheisgone crybaby
1,add tracking resent
1,people often grudge others cannot enjoy
1,supposed animosity bullshit con iranians 
1,cancelling home fibe  internet tv afternoon  soon arrange alternate internet 22 angry fedup
1,well trump rabid base needs 2 hear  u always find overseer like king say
1,snap andriaprebles â¤ï¸
1,indian uber driver called someone n word nt moving vehicle jumped disgusted offended
1,liberal outrage king saying nword really angers white yuppie progressives go fuck  shame blacks
1,haters taught hate shown love good quote goes comment tiff  treat
1,shot black police woman typical looney toon thinkinghillary divide anger chaos
1,espn assumed wanted free magazines offended
1,weak people revenge strong people forgive intelligent people ignore
1,fuming ai nt word
1,stealing girl  solo crota end flawlessly try face wrath machine ðÿ˜¤
1,people fuckin irritate
1,freaking hate working word phone rage write writing writerslife writerproblems writer
1, whaaaat    oh hell jealous got paid fuck  whole new level anger love conflictedðÿ˜¬
1,ever put fist laptops screen  time new one lmao hp
1,thursdays 6pm vespers  meditation prayerful plainsong multisensory candles incense psalms music silence faithful sing listen
1,resent biting tongue
1,huff know prohillary cnn msnbc  made mention  statement would gold em
1,epipen public outrage occurs  expand pap patient assistance progrm  coupons rebates  mylan epipen
1,gonna give kkk police bitch minimum sentencejust wattch angry
1,fell heard snap hffffhj
1,ðÿ˜‚ðÿ˜‚ðÿ˜­ðÿ˜­ðÿ˜­ resentment
1,oh  good god quentin letts one comedy turns angry bbctw
1,ca nt fight elephants wrestled pigs quoteoftheday
1,ca nt believe got 2 days left ðÿ™„ backtoreality raging
1,ak47 leave spine frown
1,feel furious
1,love people say nt racist right say racist shit works
1,nt know much bloody pout take  
1,offend truthful kind see  haikuchallenge
1,come let make em hate ðÿ˜˜make em pout face ðÿ‘¿ðÿ˜©
1,brian sleep aggravate
1,wrath one kill  laughter friedrich nietzsche friedrichnietzsche
1,luv seeing man scowl face walking protein shaker clenching fists immediately stop n suck dick
1,near kitchen unfortunately cannot cooking snap series ðÿ³
1,boys dint know game game life death better chose know side wrath come upon usðÿ˜¤ðÿ˜¤ðÿ˜¤
1,use getting early asf shit goin irritate
1,testing
1,bon allume madden
1,furious ðÿ˜©ðÿ˜©ðÿ˜©
1,asian tiger mosquitoes relentless aggressive kind dealt kid
1,sorry guys absolutely idea time cam tomorrow keep posted
1,best revenge move  get  continue succeed never give someone satisfaction watching suffer   
1,guy raging hard rocket league game  beat started crying laughing hard lol
1,feel travel 700 miles pick form arrives post two days leave
1,blood boiling
1,look teef 
1,least 3rd time balls burst games
1,dear future big brother players  chase dick season win 500 00 dollars sti bb18 bitter
1,repealremove johnson amendment direct affront first amendment constitution
1,difference though grudge cab tamed feeling uncomfortable pure emotion  ca nt really control
1,oh yeah hate air raid nt like oregonbaylor offense fan ole miss one either
1,angry glass vodka
1,live event brock vs orton 2 saturday wwe network  needs    wwe
1,donking lion black community speaks truth power insult black vote given away cavalierlyplaying 
1,faggy colors nice ok even tho might take offense words lol
1,received verification email  asked resent 5 times still nothing
1,hell fury like woman scorned  william congreve
1, wrongdoing  grrr fact  know  emailing displeasure anyway 
1,b er ncfc grudge match  
1,fucked coupon goal 
1,like going called cardiac arrest turned cut finger  medchat
1,got response irate customer amazon ðÿ˜žðÿ˜ž ca nt understand always amazon fault carrierfault
1,wonder american city next protest police shootings next  smh whenwillitstop angry howmanymoretimes
1,ever really irritated someone u love like god damn ur makin angry love u forgive u angry
1,would nt bring touchy subject people get way offended days
1,wanna see smile nt wanna see make frown
1,karev better    seriously done done angry unfair ugh
1,leave  rule nimber 1 carpet cleaning    worsethananatomicbomb accidentlyspillbeeronthecarpet
1,im mad power rangers im incensed im furious
1,used pretty girls use curse words express anger feel like little bit surprised turned well
1,mixing pretty wellusing slider pretty affective far thebabybombers yankees
1,wonder would happen tell people truth savage uhoh
1,â€” selfhatred gives rise fury  fury desire selfchange
1,thinking ukip party angry old men  wrong 
1,discriminate generates hate hate bound get irate 
1,nt provoke anger
1,easy hold grudge harder let go
1,eat ass longer insult
1,may suggest  meal made beans  onions  garlic  day class
1,pride prejudice modern day keeping kardashians  never offended life
1,true r burning pleasure  ppl true love happiness everywhere ðÿ˜ƒ
1,wow   bill â£4477 hav text u prove taken â£148      swines fuming con 
1,defination best friends    person opens mouth insult yu  
1,unfollow  got trolled trolls revenge trolling caused lot collateral damage
1,belittling kitty straight service  provoke lift aboard   wycelv
1,something needs done people hogging machines  nobody use 3 machines one time  angry notfair whypay
1,room burning ðÿ”¥
1,sorry angry drone flew away
1,watch videos like madden better 
1,outrage  tweets  jokes  attention  exactly lo wants  meant defense 
1,people even debating race inequality within justice system like non existent  trying aggravate us
1, used pawn red woman game  try fret act nothing amiss royal 
1,u probably irritate shit always talking could probably give 2 shits u lol ðÿ–•ðÿ»
1,hmu snap  like one ðÿ’€
1,event started  everyone getting ready travel lake rage  everything glows
1,girly sense always lashes  nails done tomboy sense black color  refuse ruffle life
1,remember tas gamedev program said temper tantrums class time lol
1,quite response retaliation weiner getting revenge huma  hillary clam digging allscumbags
1,casuals tweets vic faved making gag bitter
1,one favorite classic cars plymouth fiery
1,ive always wondered long angelina put brad crap gon lie ðÿ˜ bitter
1,cruel  cruel man therewillbeblood revenge
1,point scorning fury labor nothing address long term detention need resettle asylumseekers manus nauru
1,blame whole season natalie  season would different turned back alliance  pissed
1,oh brian  invite 
1,sparkles  proud little huff still posing mind
1,wish next madden story mode like fifa 17 madden
1,id love 2 c gyimah action coach holding grudge 
1,perfect illusion  least know ladygaga iscalmingmysoul
1,arms  focused rage  overpowered  getting nerfed still stronger fury though
1,like every color looks triggered colorblind offended
1,happened need smoke
1,hahah tiff sent tooðÿ˜‚
1,someone struggled w eds since 7yo  resent everyone making spectacle certain youtuber severe anorexia
1,definitely feel irritation today  lord give strength
1,people irritate tf swear ðÿ™„ goin sleep âœœðÿ¾ï¸
1,yo gurls dm tribute ðÿ˜œðÿ’¦ snapme dm nudes tribute cumtribute cock cum swallow
1,first resulted angrily sobbing ranting finnick cinema
1,welcome ji  sorry words irritate u
1,looking forward  opened stuartspecial literally yelled tv
1,joes gf started singing star joe got angry sing right started angrily singing back
1,gameday vs buford today 530 home          never excited
1,turn grumpy frown upsidedown something next impossible today
1,hi monica  write regularly  bees  never dared try buzz sting honey
1,favourite quote year far swore parsnip ðÿ˜‚ raging
1,even forget pick ur fave child school offended
1,nt account follow offended
1,snap  seems problem
1,2 biggest fears incurable std pregnancyi mean  basically thing anyway forlife annoying weirdsmells
1,sam yes  helpful  need sorting asap  keep promising stuff nt happen     fuming
1,pro tip go back work kid reaches 20 mos old stay home longer  absolutely miserable 
1,moving clips youtube tonight vigil held tulsa metropolitan baptist church terencecruther justice anger sadness
1,forgot nice area fiery hearths
1,ummm  blog says simon stehr faking 7thi expect investigation forthwith outrage
1,quad shot every day sleep right time detox ðÿ˜… get raging migraines without coffee 
1,circle k dead hate new slushie machine irate livid
1,opinion worst delhi govt  acrid bitter hypocrisy
1,ok scrubbed hands 5 times trying put eyeballs burning evenmoreblind accidentally scared cat whilst screeching
1,vanity sizes sizes xs  evenxxs sometimes  big  wtf   dear corporate jerks  lithuania nt need rant
1,lot 100 would give ghandi road rage
1,forever raging ðÿ˜ðÿ˜‚ðÿ˜­
1,seeing alex revells face gets angry
1,looking forward  opened stuartspecial literally yelled tv umbrage
1,really need pout time  getting nerves gbbo
1,taking umbrage jimmy carr claimed bilbo baggins went mordor 8 10 cats countdown know baggins  mate
1,u understand rage often pretty  controlled rational  often visceralnot always logical
1,know furious   stop fucking moaning nt win 7th game last season finished
1,congrats nicole bb18  fix nose ðÿ˜’ðÿ’ðÿ» bitter petty
1,burns pick pitches nt get like ðÿ˜¢ðÿ˜¢
1,flirt  simper  pout  repeat yuck
1,since update loses power nearly 40 faster
1,yep lol bitter
1,specific  intentional way part intention provoke conversation around systemic racism towards blacks
1,yeah  mind tweetin twice blm likethat
1,give pout firm
1,mia worst road rage ever seen gets mad put hands windows lol
1,people always get offended everyone situation different  kids nt mean settle
1,wee pop socks keep falling inside shoes rage
1,always happy support brother keep fire burning 3
1,ive went roght huff deleted episode anger n everything  regret 
1,ca nt grasp  besides yr cognitive dissonance  raging away incident leoshooting  separate
1,relentless echo chamber  negative comments lots reverb typical bully behavior
1,people irritate mf soul
1,another raging storm brought emotions sorry everyone enjoy thunder
1,two ten times interesting particular afternoon goofballs  could say worse   umbrage
1,going waste energy holding grudge someone wasnt even life year xd time release feelings dislike
1,yay bmth canceled melbourne show fanfuckingtastic lost days pay hotel fees happy atm sad angry
1,drop snapchat names bored swap pics
1,seeing double tired always grudge getting phone night ðÿ™„
1,hi folks flight going hour late departing inv  ezy864   go getting refund please  boiling
1,twitter picture makes fume
1,lost fury  fearing fail 
1,love lizzy warren latest rage wall street
1,another l board cannot match paper teams moment showing field onto denver revenge
1,earth send email  annoyed customer    fuming
1,delete shit josh screenshotted snap
1,people go speed limit irritate
1,oh yeah squid face god madden 17 xbox1 come see
1,despite outrage fatigue  nt lose shine
1,still using offense  middle 3x  punt
1,yeah received fine today furious  currently appealing member long
1,young people bitter older contestants probably know make bakewell tarts ðÿ˜‚ gbbo
1,peanut butter takes away sting
1,someone make priority list things outraged  order  racism animalrights abortion cops
1,mexican ladies irritate fuck outta lil preschool fucking kids welfare  allllat smh
1,oow16 sting decent new song
1,outrage black man kills another black man streets 
1,angry order 6 months ago placed order 500 card billed never received disappointing
1,let stereotype south asians relentless beat reporters
1,fuck boy run drag routes back back madden
1,criminalized posting pic brown frown get pic jack  cookies  diesel  join
1,ya girl
1,timid determined version rabid beasts beyond land growling beneath restrained breath  rip 
1,joke know incense
1,realizing holding grudge long immaturity wisdom
1,star trek online update download oh fuming yay
1,everyone wigan biggest club
1,leveled half much better offense expected second half
1,hey folks sorry anything offensive got posted yesterday account got hacked fixed though hope  angry annoyed
1,medicine burning
1,earth projection good happy true soul poisonous fucking snake  patronus adder offended
1,think  must actually working like  havent got snap chat videos today
1,interesting authentic afghan restaurant r getting calls media resent tragedy happened nj
1,decorations jersey already
1,anger cheap politeness expensive nt expect everybody polite thoughtfulthursday anger politeness
1,finding two best fwendz going rage makes last week sleep extra worth
1,rage died
1,disconnected whilst holiday ðÿ˜¤ nt move house 1st october ðÿ¤” furious
1,majority people irritate fuck  cba people ahahah
1,jogging bit stay beside  puffing cheeks huff time oh jeez jasper  nt â€”
1,forgot eat dinner furious everything everyone
1,gbbo homely pure piece tv gold channel 4 attempt tart mary  sue mel gone ðÿ‘‹
1,tracking show equipment delivered  nt  service suddenly delayed  already 3 weeks
1,team must draw hat daily personality drugged yeller quiet screamer ðÿ˜‚ðÿ˜‚
1,mad tilting  slightly irate  cool 
1,yea forcing 5 turnovers holding pretty good offense 7 points concerningoh wait  
1,dentist said going numb front lip feel got lips like pete burns  right pout
1,shit nt even begin describe fiery little demons straight hell ðÿœðÿœš  
1,easy blow lt run play created seam sua burst
1,intergroup relationships  anger makes people think negative prejudiced terms outsiders
1,left wanted play heavier game needed offense tho amongst others
1,furious    
1,whole clown rage scared shitless  gonna go cry room
1,going back blissful ignorance   fury
1, haired man strides close watches major flinches away  reaction draws growl throat  
1,standard bitter response  feel small club big city
1,snap meee
1,sorry burst bubble nt century anymore welcome 21st century
1,aye man fuming xo
1, feel everything would remember everything evanora hoped would serve fuel creatures anger run rabid 
1,instagram seriously sort sh spent ages writing caption delete post   instagram
1,waggled eyebrows baby burst laughing love haha
1,true  go ways receiving end vegans wrath  lol  personally would nt condemn
1,argh big wasp buzzing blinds window halp  wasp evil buzz
1,someone needs tell candice stuck shitty pout wind changes gbbo
1,baby born soon lifechanging 6 years feels like yesterday sad happy emotionalrollercoaster
1,smh  remove ideologically bankrupt opportunistic establishment burning bridges social contracts anger
1,changed clothes work preworkout route gym traffic  pre workout kicking
1,bored rn leave kiksnapchat kik kikme kikmessage boredaf bored snapchatme snapchat snap country countrygirl
1,fucking mad blood boiling
1, flat party instantly get bollocked
1,directtv best apparently sit silent anger nt press say anything
1,keep talkin shit trying offend petty fuck
1,turn game wanting play madden  load game turn
1,  today proceedings entire process insult constituents
1,hell hath fury like late twenty something dude concur government session keeps expiring submit form
1,much hw tonight im offended
1,wish live bitter guilty conscience made think applied well  sorryðÿ’ðÿ»ðÿ˜š
1,think anger barrier truth 
1,nt account follow
1,got lot tokens saved wanna spam event song eyes sting im tired
1,last madden commercial ðÿ˜†ðÿ˜†ðÿ˜†ðÿ˜†ðÿ˜†ðÿ˜† tnf
1,people infuriate 
1,live die mchanzo honeymoon crashing burning second move together
1,wont use using   guys cant get nothing right   fuming
1,weird discussing sex resentment confusion thing writing last night
1,lowkey forgot twitter nt follow back im gonna
1,dis dat nigga fume right 
1,nonsensical injustice blacks  add destroying black property misdirected anger
1,really madden career game sucks  ea sports piss poor job every year shit
